idna_subject,checker_type,destination,tested_at
"moherland.pl,",AVAILABILITY,origin.list,2023-10-20 05:01:32.265903
telemetry.appex.bing.net:443,AVAILABILITY,origin.list,2023-10-20 05:01:32.292187
mailto:info@mypornbible.com,AVAILABILITY,origin.list,2023-10-20 05:01:32.857406
hans.pr0gramm.com,AVAILABILITY,origin.list,2023-10-20 05:01:32.859253
adtrackone.eu$document,AVAILABILITY,origin.list,2023-10-20 05:01:33.407405
websitealive[0-9].com,AVAILABILITY,origin.list,2023-10-20 05:01:33.423071
crywebber.github.io,AVAILABILITY,origin.list,2023-10-20 05:01:33.727592
xn--publicsluts-qf3f.net,AVAILABILITY,origin.list,2023-10-20 05:01:33.947748
xy.nullrefexcep.com,AVAILABILITY,origin.list,2023-10-20 05:01:33.988912
web.die-news.pw,AVAILABILITY,origin.list,2023-10-20 05:01:34.229340
host.d-ns.ga,AVAILABILITY,origin.list,2023-10-20 05:01:34.475985
mangas-porno-.has.it,AVAILABILITY,origin.list,2023-10-20 05:01:34.520351
247?realmedia.com,AVAILABILITY,origin.list,2023-10-20 05:01:34.769377
film-porno-.ze.cx,AVAILABILITY,origin.list,2023-10-20 05:01:35.025483
xn--freecelebritytube-tz2jja.com,AVAILABILITY,origin.list,2023-10-20 05:01:35.070799
alyssa-.ifrance.com,AVAILABILITY,origin.list,2023-10-20 05:01:35.283039
"adblade.com,popup",AVAILABILITY,origin.list,2023-10-20 05:01:35.622623
m.pr0gramm.com,AVAILABILITY,origin.list,2023-10-20 05:01:35.743391
javakiba.org*,AVAILABILITY,origin.list,2023-10-20 05:01:35.806162
allosexe-.myblox.fr,AVAILABILITY,origin.list,2023-10-20 05:01:36.117998
hurensohn.pr0gramm.com,AVAILABILITY,origin.list,2023-10-20 05:01:36.415662
st.kjli.fi,AVAILABILITY,origin.list,2023-10-20 05:01:36.454934
